event_date,sale_date,days_to_event,venue,genre,ticket_tier,base_price,artist_popularity,temperature_c,is_cold,is_rainy,is_weekend,is_saturday,month,day_of_week,has_competing_event,is_peak_season,viral_shock,transport_disruption,venue_location_premium,price_adjustment_pct,optimal_price
2023-04-13,2023-01-03,100,"O2 Arena, London",Pop,Premium (Seated),125.0,7,19.1,0,0,0,0,4,3,0,0,0,0,0.22,22.0,152.5
2024-03-11,2023-09-28,165,"Motorpoint Arena, Cardiff",Musical Theatre,Premium (Seated),125.0,6,12.3,0,1,0,0,3,0,0,0,0,0,0.0,-0.01,125.0
2023-09-28,2023-08-15,44,"SSE Hydro, Glasgow",Musical Theatre,Standing (General),48.0,6,11.8,0,1,0,0,9,3,0,0,0,0,0.03,15.45,55.5
2023-04-17,2022-12-01,137,"Utilita Arena, Birmingham",Rock,VIP Package,210.0,5,10.6,0,1,0,0,4,0,0,0,0,0,0.05,11.48,234.0
2023-03-13,2023-01-11,61,"O2 Arena, London",Pop,VIP Package,210.0,4,7.9,1,1,0,0,3,0,1,0,0,0,0.22,18.5,249.0
2024-12-01,2024-09-29,63,"First Direct Arena, Leeds",Hip-Hop,Standard (Seated),78.0,7,8.4,0,1,1,0,12,6,0,1,0,0,0.02,22.0,95.0
2023-01-21,2022-12-03,49,"Motorpoint Arena, Cardiff",Classical,Standing (General),48.0,5,4.5,1,1,1,1,1,5,0,0,0,0,0.0,1.25,48.5
2024-09-06,2024-04-20,139,Manchester Arena,Musical Theatre,Standing (General),48.0,6,10.3,0,1,1,0,9,4,1,0,0,1,0.08,9.55,52.5
2023-05-02,2023-01-25,97,Manchester Arena,Pop,VIP Package,210.0,2,16.4,0,0,0,0,5,1,1,0,0,0,0.08,-5.86,197.5
2024-04-11,2024-03-04,38,"O2 Arena, London",Pop,Standard (Seated),78.0,5,8.0,1,1,0,0,4,3,0,0,0,0,0.22,22.0,95.0
2023-08-03,2023-07-09,25,"O2 Arena, London",Electronic/Dance,Standard (Seated),78.0,2,18.0,0,0,0,0,8,3,0,1,0,0,0.22,22.0,95.0
2023-11-27,2023-10-22,36,"Glastonbury Festival, Somerset",Hip-Hop,Standing (General),48.0,1,-3.8,1,1,0,0,11,0,1,0,0,0,0.35,15.63,55.5
2024-04-03,2023-12-11,114,Manchester Arena,Pop,Standing (General),48.0,6,16.3,0,0,0,0,4,2,0,0,0,0,0.08,10.73,53.0
2023-03-29,2022-10-22,158,"Boardmasters, Newquay",R&B,Standard (Seated),78.0,4,10.3,0,1,0,0,3,2,1,0,0,0,0.15,4.82,82.0
2024-01-08,2023-12-12,27,Manchester Arena,Electronic/Dance,Standard (Seated),78.0,9,4.1,1,1,0,0,1,0,0,0,0,0,0.08,22.0,95.0
2023-04-10,2022-12-17,114,"SSE Hydro, Glasgow",Classical,VIP Package,210.0,6,8.9,0,1,0,0,4,0,0,0,0,0,0.03,8.3,227.5
2024-10-25,2024-05-24,154,Manchester Arena,Rock,Premium (Seated),125.0,6,11.1,0,1,1,0,10,4,0,0,0,0,0.08,19.65,149.5
2023-05-11,2023-02-17,83,Manchester Arena,Electronic/Dance,Premium (Seated),125.0,3,14.9,0,0,0,0,5,3,0,0,0,0,0.08,14.03,142.5
2024-10-23,2024-09-04,49,"O2 Arena, London",Jazz,Standing (General),48.0,2,5.9,1,1,0,0,10,2,1,0,1,0,0.22,22.0,58.5
2023-11-05,2023-08-24,73,Manchester Arena,Musical Theatre,Standing (General),48.0,5,3.1,1,1,1,0,11,6,0,0,0,0,0.08,22.0,58.5
2023-12-10,2023-11-06,34,"First Direct Arena, Leeds",Rock,Standard (Seated),78.0,8,0.8,1,1,1,0,12,6,0,1,0,0,0.02,19.07,93.0
2024-05-06,2024-05-04,2,"Boardmasters, Newquay",Rock,Standing (General),48.0,1,18.4,0,0,0,0,5,0,1,0,0,0,0.15,5.03,50.5
2024-02-18,2023-10-27,114,"Utilita Arena, Birmingham",Musical Theatre,Standing (General),48.0,5,8.5,0,1,1,0,2,6,0,1,0,0,0.05,22.0,58.5
2024-01-21,2023-10-08,105,"O2 Arena, London",R&B,VIP Package,210.0,3,2.7,1,1,1,0,1,6,1,0,0,0,0.22,20.53,253.0
2023-07-11,2023-05-20,52,"O2 Arena, London",Hip-Hop,Standard (Seated),78.0,7,19.1,0,0,0,0,7,1,0,1,0,0,0.22,22.0,95.0
2023-10-04,2023-09-12,22,"O2 Arena, London",Hip-Hop,Standing (General),48.0,6,8.2,0,1,0,0,10,2,0,0,1,0,0.22,22.0,58.5
2023-06-10,2023-02-21,109,"Utilita Arena, Birmingham",Rock,Standing (General),48.0,2,19.4,0,0,1,1,6,5,0,0,0,0,0.05,-1.2,47.5
2024-04-04,2024-02-28,36,"SSE Hydro, Glasgow",Hip-Hop,Standing (General),48.0,6,16.3,0,0,0,0,4,3,0,0,0,0,0.03,8.26,52.0
2023-11-10,2023-07-14,119,"Glastonbury Festival, Somerset",Hip-Hop,VIP Package,210.0,10,8.7,0,1,1,0,11,4,0,0,0,0,0.35,22.0,256.0
2023-01-22,2022-12-18,35,"O2 Arena, London",Electronic/Dance,Standing (General),48.0,5,1.7,1,1,1,0,1,6,0,0,0,0,0.22,15.09,55.0
2023-09-10,2023-08-20,21,"First Direct Arena, Leeds",Pop,Standing (General),48.0,4,8.9,0,1,1,0,9,6,0,0,0,0,0.02,12.89,54.0
2024-07-14,2024-07-02,12,"First Direct Arena, Leeds",Musical Theatre,Standard (Seated),78.0,3,19.4,0,0,1,0,7,6,0,1,0,0,0.02,16.45,91.0
2024-04-19,2024-02-14,65,"Utilita Arena, Birmingham",R&B,Standing (General),48.0,10,13.8,0,0,1,0,4,4,0,0,1,0,0.05,22.0,58.5
2023-02-28,2022-12-04,86,"Utilita Arena, Birmingham",Hip-Hop,Standing (General),48.0,6,7.1,1,1,0,0,2,1,0,1,0,0,0.05,22.0,58.5
2024-05-25,2024-05-05,20,"SSE Hydro, Glasgow",Musical Theatre,Standing (General),48.0,4,9.8,0,1,1,1,5,5,0,0,0,0,0.03,20.31,57.5
2024-11-12,2024-06-20,145,"Utilita Arena, Birmingham",R&B,Standing (General),48.0,3,2.1,1,1,0,0,11,1,0,0,0,0,0.05,-9.82,43.5
2024-04-20,2024-02-29,51,"O2 Arena, London",Classical,Standing (General),48.0,9,14.3,0,0,1,1,4,5,0,0,0,0,0.22,22.0,58.5
2024-11-30,2024-08-13,109,"Motorpoint Arena, Cardiff",Musical Theatre,Standing (General),48.0,6,-0.1,1,1,1,1,11,5,0,0,0,0,0.0,14.46,55.0
2023-07-09,2023-02-14,145,"O2 Arena, London",R&B,Premium (Seated),125.0,1,11.1,0,1,1,0,7,6,0,1,0,0,0.22,20.05,150.0
2024-11-17,2024-09-26,52,"SSE Hydro, Glasgow",R&B,Standing (General),48.0,1,4.5,1,1,1,0,11,6,1,0,0,0,0.03,-11.83,42.5
2024-07-16,2024-03-16,122,Manchester Arena,Musical Theatre,Premium (Seated),125.0,9,11.5,0,1,0,0,7,1,0,1,0,0,0.08,22.0,152.5
2024-07-20,2024-03-26,116,"First Direct Arena, Leeds",Pop,Premium (Seated),125.0,7,22.4,0,0,1,1,7,5,0,1,0,0,0.02,22.0,152.5
2023-09-01,2023-05-18,106,"Glastonbury Festival, Somerset",Pop,Standard (Seated),78.0,2,14.0,0,0,1,0,9,4,1,0,0,0,0.35,22.0,95.0
2024-05-19,2024-01-11,129,"Glastonbury Festival, Somerset",Musical Theatre,Standing (General),48.0,6,18.0,0,0,1,0,5,6,0,0,0,0,0.35,22.0,58.5
2023-05-11,2023-02-01,99,"Motorpoint Arena, Cardiff",Jazz,Standing (General),48.0,5,18.5,0,0,0,0,5,3,0,0,0,0,0.0,-11.59,42.5
2024-04-29,2023-12-21,130,"First Direct Arena, Leeds",Musical Theatre,Premium (Seated),125.0,7,16.6,0,0,0,0,4,0,0,0,0,0,0.02,22.0,152.5
2024-10-08,2024-07-25,75,"SSE Hydro, Glasgow",Pop,Standard (Seated),78.0,4,1.5,1,1,0,0,10,1,0,0,0,0,0.03,-0.97,77.0
2023-01-21,2022-10-21,92,"First Direct Arena, Leeds",Pop,Standard (Seated),78.0,4,1.8,1,1,1,1,1,5,0,0,0,0,0.02,12.07,87.5
2023-06-16,2023-05-04,43,"Glastonbury Festival, Somerset",Pop,Standing (General),48.0,3,17.3,0,0,1,0,6,4,0,0,0,0,0.35,22.0,58.5
2023-10-01,2023-07-27,66,Manchester Arena,Hip-Hop,VIP Package,210.0,3,7.2,1,1,1,0,10,6,0,0,1,0,0.08,22.0,256.0
2024-01-23,2023-11-16,68,"Boardmasters, Newquay",Hip-Hop,Standing (General),48.0,3,0.7,1,1,0,0,1,1,0,0,0,0,0.15,20.43,58.0
2024-08-23,2024-08-10,13,"Glastonbury Festival, Somerset",R&B,Standard (Seated),78.0,1,12.2,0,1,1,0,8,4,0,1,0,0,0.35,22.0,95.0
2023-11-12,2023-10-02,41,"SSE Hydro, Glasgow",Pop,Standard (Seated),78.0,1,7.1,1,1,1,0,11,6,0,0,0,0,0.03,-9.6,70.5
2023-01-14,2022-09-13,123,Manchester Arena,Hip-Hop,Standing (General),48.0,7,4.2,1,1,1,1,1,5,0,0,0,0,0.08,13.74,54.5
2023-08-30,2023-06-09,82,"O2 Arena, London",Electronic/Dance,Standard (Seated),78.0,7,9.9,0,1,0,0,8,2,1,1,0,0,0.22,22.0,95.0
2023-12-12,2023-08-25,109,"Glastonbury Festival, Somerset",Pop,Premium (Seated),125.0,2,5.0,1,1,0,0,12,1,0,1,0,0,0.35,22.0,152.5
2024-07-18,2024-04-10,99,"O2 Arena, London",Musical Theatre,Premium (Seated),125.0,6,15.9,0,0,0,0,7,3,0,1,0,0,0.22,22.0,152.5
2023-12-06,2023-08-11,117,"Glastonbury Festival, Somerset",Pop,Premium (Seated),125.0,7,-0.1,1,1,0,0,12,2,1,1,0,0,0.35,22.0,152.5
2023-04-02,2023-03-07,26,"First Direct Arena, Leeds",Classical,Standard (Seated),78.0,1,22.5,0,0,1,0,4,6,0,0,0,0,0.02,-14.82,66.5
2024-01-02,2023-09-23,101,Manchester Arena,Musical Theatre,Standard (Seated),78.0,2,3.3,1,1,0,0,1,1,0,0,0,0,0.08,5.14,82.0
2024-03-30,2024-03-07,23,"Glastonbury Festival, Somerset",Electronic/Dance,Standing (General),48.0,6,7.2,1,1,1,1,3,5,0,0,0,0,0.35,22.0,58.5
2024-03-03,2023-11-07,117,"Utilita Arena, Birmingham",Rock,Standard (Seated),78.0,4,8.0,1,1,1,0,3,6,0,0,0,0,0.05,4.66,81.5
2024-05-23,2023-11-29,176,"Utilita Arena, Birmingham",Rock,Standing (General),48.0,6,17.4,0,0,0,0,5,3,0,0,0,0,0.05,10.69,53.0
2023-02-04,2022-08-27,161,"Utilita Arena, Birmingham",Musical Theatre,Standard (Seated),78.0,5,6.5,1,1,1,1,2,5,0,1,0,1,0.05,22.0,95.0
2023-07-25,2023-03-29,118,Manchester Arena,Rock,Standing (General),48.0,1,18.6,0,0,0,0,7,1,0,1,0,0,0.08,4.02,50.0
2023-03-22,2023-02-10,40,"Motorpoint Arena, Cardiff",Classical,Standard (Seated),78.0,6,4.0,1,1,0,0,3,2,0,0,0,0,0.0,1.29,79.0
2024-07-15,2024-07-05,10,Manchester Arena,Musical Theatre,Standard (Seated),78.0,3,13.0,0,0,0,0,7,0,0,1,0,0,0.08,22.0,95.0
2024-01-23,2023-11-09,75,"Glastonbury Festival, Somerset",Musical Theatre,VIP Package,210.0,4,2.4,1,1,0,0,1,1,0,0,0,0,0.35,22.0,256.0
2023-01-02,2022-10-03,91,"Glastonbury Festival, Somerset",Electronic/Dance,Standard (Seated),78.0,7,1.2,1,1,0,0,1,0,0,0,0,0,0.35,22.0,95.0
2024-01-25,2023-12-18,38,Manchester Arena,Jazz,VIP Package,210.0,7,-0.7,1,1,0,0,1,3,0,0,0,1,0.08,6.03,222.5
2024-07-19,2024-02-21,149,"SSE Hydro, Glasgow",Musical Theatre,Premium (Seated),125.0,4,15.2,0,0,1,0,7,4,0,1,1,0,0.03,22.0,152.5
2023-04-16,2023-01-07,99,"Utilita Arena, Birmingham",R&B,Standard (Seated),78.0,2,15.6,0,0,1,0,4,6,1,0,0,1,0.05,-26.27,57.5
2024-04-21,2023-11-04,169,Manchester Arena,Rock,Standard (Seated),78.0,7,20.0,0,0,1,0,4,6,0,0,0,0,0.08,19.98,93.5
2024-12-03,2024-06-20,166,"Boardmasters, Newquay",Pop,Standing (General),48.0,8,4.5,1,1,0,0,12,1,0,1,0,0,0.15,22.0,58.5
2024-02-06,2023-12-01,67,"O2 Arena, London",Pop,Premium (Seated),125.0,9,7.7,1,1,0,0,2,1,0,1,0,0,0.22,22.0,152.5
2024-12-30,2024-09-04,117,Manchester Arena,Jazz,Standard (Seated),78.0,4,1.4,1,1,0,0,12,0,0,1,0,0,0.08,1.14,79.0
2024-07-09,2024-02-05,155,"First Direct Arena, Leeds",Electronic/Dance,VIP Package,210.0,2,26.4,0,0,0,0,7,1,0,1,0,0,0.02,3.56,217.5
2023-06-11,2023-04-23,49,"First Direct Arena, Leeds",Musical Theatre,Standard (Seated),78.0,9,16.8,0,0,1,0,6,6,0,0,0,1,0.02,22.0,95.0
2023-07-21,2023-01-27,175,"Utilita Arena, Birmingham",Classical,Premium (Seated),125.0,4,15.7,0,0,1,0,7,4,0,1,0,0,0.05,13.46,142.0
2023-09-27,2023-05-25,125,"SSE Hydro, Glasgow",Hip-Hop,Premium (Seated),125.0,2,10.4,0,1,0,0,9,2,1,0,0,0,0.03,-10.26,112.0
2023-09-28,2023-07-04,86,"Utilita Arena, Birmingham",Hip-Hop,Standard (Seated),78.0,5,4.4,1,1,0,0,9,3,1,0,0,0,0.05,2.38,80.0
2024-03-31,2023-11-16,136,"Utilita Arena, Birmingham",Pop,Standing (General),48.0,3,9.7,0,1,1,0,3,6,0,0,0,0,0.05,-5.63,45.5
2024-04-06,2024-01-22,75,"O2 Arena, London",Musical Theatre,Standard (Seated),78.0,4,14.4,0,0,1,1,4,5,1,0,0,0,0.22,20.71,94.0
2024-12-27,2024-10-28,60,Manchester Arena,R&B,Standard (Seated),78.0,4,0.6,1,1,1,0,12,4,0,1,0,0,0.08,22.0,95.0
2023-09-09,2023-07-20,51,"O2 Arena, London",Electronic/Dance,Standing (General),48.0,10,13.7,0,0,1,1,9,5,0,0,0,0,0.22,22.0,58.5
2024-12-02,2024-06-21,164,Manchester Arena,Pop,VIP Package,210.0,6,3.7,1,1,0,0,12,0,0,1,0,0,0.08,22.0,256.0
2023-10-23,2023-08-17,67,"Utilita Arena, Birmingham",Musical Theatre,Standard (Seated),78.0,5,7.0,1,1,0,0,10,0,0,0,0,0,0.05,14.54,89.5
2024-12-25,2024-09-28,88,"O2 Arena, London",Musical Theatre,VIP Package,210.0,5,2.2,1,1,0,0,12,2,1,1,0,1,0.22,22.0,256.0
2024-12-20,2024-08-31,111,Manchester Arena,Electronic/Dance,Premium (Seated),125.0,6,0.7,1,1,1,0,12,4,0,1,0,0,0.08,21.33,151.5
2023-12-04,2023-08-31,95,"O2 Arena, London",Electronic/Dance,Standard (Seated),78.0,8,-5.0,1,1,0,0,12,0,1,1,0,0,0.22,22.0,95.0
2023-02-22,2022-12-24,60,"Glastonbury Festival, Somerset",Hip-Hop,VIP Package,210.0,2,7.9,1,1,0,0,2,2,1,1,0,0,0.35,20.62,253.5
2023-08-05,2023-03-30,128,"Glastonbury Festival, Somerset",Rock,Standard (Seated),78.0,6,17.4,0,0,1,1,8,5,0,1,0,0,0.35,22.0,95.0
2023-07-07,2023-01-26,162,"Utilita Arena, Birmingham",Rock,VIP Package,210.0,4,16.9,0,0,1,0,7,4,0,1,0,0,0.05,8.09,227.0
2024-01-15,2023-09-24,113,"Glastonbury Festival, Somerset",Hip-Hop,Standard (Seated),78.0,6,-2.2,1,1,0,0,1,0,0,0,0,0,0.35,22.0,95.0
2024-05-07,2024-04-03,34,"Motorpoint Arena, Cardiff",Pop,Standard (Seated),78.0,5,15.2,0,0,0,0,5,1,0,0,0,0,0.0,16.25,90.5
2023-02-10,2023-01-05,36,"Utilita Arena, Birmingham",R&B,Standard (Seated),78.0,1,4.3,1,1,1,0,2,4,0,1,0,0,0.05,14.57,89.5
2023-06-06,2023-03-03,95,"O2 Arena, London",Electronic/Dance,Standard (Seated),78.0,6,16.4,0,0,0,0,6,1,0,0,0,1,0.22,22.0,95.0
2023-01-15,2022-10-24,83,"Motorpoint Arena, Cardiff",R&B,Standard (Seated),78.0,6,4.8,1,1,1,0,1,6,0,0,0,0,0.0,7.25,83.5
2023-03-06,2022-10-12,145,"SSE Hydro, Glasgow",Pop,Standard (Seated),78.0,3,2.4,1,1,0,0,3,0,1,0,0,0,0.03,-5.13,74.0
2024-06-04,2024-02-28,97,"Utilita Arena, Birmingham",R&B,Standing (General),48.0,2,17.3,0,0,0,0,6,1,0,0,0,0,0.05,-3.21,46.5
2023-12-10,2023-09-13,88,"SSE Hydro, Glasgow",Rock,VIP Package,210.0,3,-1.6,1,1,1,0,12,6,0,1,0,0,0.03,-3.05,203.5
2023-05-09,2023-03-11,59,"First Direct Arena, Leeds",Electronic/Dance,Standard (Seated),78.0,6,22.2,0,0,0,0,5,1,0,0,0,0,0.02,16.27,90.5
2024-10-09,2024-07-14,87,"SSE Hydro, Glasgow",Hip-Hop,Standard (Seated),78.0,5,4.4,1,1,0,0,10,2,0,0,0,0,0.03,7.15,83.5
2024-04-16,2024-02-20,56,"Glastonbury Festival, Somerset",Musical Theatre,Standard (Seated),78.0,8,12.5,0,1,0,0,4,1,0,0,0,0,0.35,22.0,95.0
2023-03-04,2022-12-23,71,Manchester Arena,Pop,Premium (Seated),125.0,4,14.9,0,0,1,1,3,5,1,0,1,0,0.08,22.0,152.5
2023-05-19,2022-12-25,145,"SSE Hydro, Glasgow",Musical Theatre,VIP Package,210.0,4,9.7,0,1,1,0,5,4,1,0,0,0,0.03,-5.35,199.0
2024-05-13,2024-04-17,26,"First Direct Arena, Leeds",Rock,Standard (Seated),78.0,5,14.6,0,0,0,0,5,0,0,0,0,0,0.02,7.67,84.0
2024-08-15,2024-07-14,32,"SSE Hydro, Glasgow",Electronic/Dance,Standing (General),48.0,5,4.6,1,1,0,0,8,3,1,1,0,0,0.03,6.68,51.0
2024-01-27,2023-12-21,37,"SSE Hydro, Glasgow",Electronic/Dance,Standard (Seated),78.0,5,5.6,1,1,1,1,1,5,0,0,0,0,0.03,17.69,92.0
2024-11-05,2024-08-14,83,"O2 Arena, London",Electronic/Dance,Standard (Seated),78.0,4,3.8,1,1,0,0,11,1,0,0,0,0,0.22,22.0,95.0
2024-02-23,2023-09-01,175,"Utilita Arena, Birmingham",Classical,VIP Package,210.0,3,5.3,1,1,1,0,2,4,0,1,0,0,0.05,9.1,229.0
2023-10-16,2023-09-17,29,"O2 Arena, London",R&B,Standard (Seated),78.0,7,10.3,0,1,0,0,10,0,0,0,0,1,0.22,22.0,95.0
2024-01-14,2023-09-22,114,"SSE Hydro, Glasgow",Rock,VIP Package,210.0,1,-2.0,1,1,1,0,1,6,0,0,0,0,0.03,-15.08,178.5
2024-05-04,2024-04-26,8,"First Direct Arena, Leeds",Jazz,Standard (Seated),78.0,4,15.4,0,0,1,1,5,5,0,0,0,0,0.02,-1.42,77.0
2023-08-19,2023-04-13,128,"Motorpoint Arena, Cardiff",Rock,VIP Package,210.0,2,17.8,0,0,1,1,8,5,0,1,0,0,0.0,-0.39,209.0
2023-02-10,2023-01-14,27,"O2 Arena, London",Pop,Standing (General),48.0,7,4.0,1,1,1,0,2,4,0,1,0,0,0.22,22.0,58.5
2023-01-28,2022-08-12,169,"Utilita Arena, Birmingham",Pop,VIP Package,210.0,4,1.4,1,1,1,1,1,5,1,0,0,1,0.05,2.63,215.5
2023-05-15,2023-02-23,81,Manchester Arena,Rock,VIP Package,210.0,1,17.2,0,0,0,0,5,0,1,0,0,0,0.08,-2.04,205.5
2023-07-20,2023-02-07,163,"Glastonbury Festival, Somerset",Electronic/Dance,VIP Package,210.0,2,18.1,0,0,0,0,7,3,0,1,0,0,0.35,22.0,256.0
2023-02-02,2022-12-10,54,"Glastonbury Festival, Somerset",Electronic/Dance,Standing (General),48.0,3,8.6,0,1,0,0,2,3,0,1,0,0,0.35,22.0,58.5
2023-02-17,2022-10-21,119,"Boardmasters, Newquay",Rock,Standing (General),48.0,7,5.3,1,1,1,0,2,4,0,1,0,0,0.15,22.0,58.5
2024-05-17,2024-03-23,55,"Motorpoint Arena, Cardiff",Pop,Standard (Seated),78.0,7,11.1,0,1,1,0,5,4,0,0,0,0,0.0,22.0,95.0
2024-02-11,2023-09-18,146,"SSE Hydro, Glasgow",Classical,Standing (General),48.0,10,4.2,1,1,1,0,2,6,0,1,0,0,0.03,20.78,58.0
2024-07-27,2024-03-19,130,"O2 Arena, London",Classical,Standing (General),48.0,3,17.6,0,0,1,1,7,5,1,1,0,0,0.22,20.74,58.0
2024-12-28,2024-10-02,87,Manchester Arena,Musical Theatre,Standing (General),48.0,2,2.6,1,1,1,1,12,5,0,1,0,0,0.08,16.4,56.0
2023-04-09,2023-03-20,20,"First Direct Arena, Leeds",Musical Theatre,Standard (Seated),78.0,4,11.4,0,1,1,0,4,6,1,0,0,0,0.02,-0.4,77.5
2024-11-14,2024-10-15,30,"Motorpoint Arena, Cardiff",Musical Theatre,Standard (Seated),78.0,3,-3.5,1,1,0,0,11,3,0,0,0,0,0.0,5.59,82.5
2024-12-26,2024-10-08,79,"Glastonbury Festival, Somerset",Classical,Standing (General),48.0,7,1.9,1,1,0,0,12,3,1,1,0,0,0.35,22.0,58.5
2024-06-30,2024-02-25,126,"O2 Arena, London",Hip-Hop,Standing (General),48.0,9,14.7,0,0,1,0,6,6,1,0,0,0,0.22,22.0,58.5
2024-09-04,2024-07-30,36,"Glastonbury Festival, Somerset",Pop,Standard (Seated),78.0,4,11.9,0,1,0,0,9,2,0,0,0,0,0.35,22.0,95.0
2024-04-06,2023-12-03,125,"SSE Hydro, Glasgow",Hip-Hop,Standard (Seated),78.0,4,13.6,0,0,1,1,4,5,0,0,0,0,0.03,12.39,87.5
2024-10-04,2024-07-09,87,"Utilita Arena, Birmingham",Pop,Standing (General),48.0,4,0.6,1,1,1,0,10,4,0,0,0,0,0.05,10.57,53.0
2023-01-05,2022-10-05,92,"O2 Arena, London",Musical Theatre,Standard (Seated),78.0,8,0.6,1,1,0,0,1,3,0,0,0,0,0.22,22.0,95.0
2023-08-06,2023-06-28,39,"O2 Arena, London",Electronic/Dance,VIP Package,210.0,6,20.0,0,0,1,0,8,6,0,1,0,0,0.22,22.0,256.0
2024-05-17,2024-01-13,125,"Utilita Arena, Birmingham",Hip-Hop,VIP Package,210.0,9,15.4,0,0,1,0,5,4,0,0,0,0,0.05,22.0,256.0
2024-02-02,2023-11-03,91,"Utilita Arena, Birmingham",Pop,VIP Package,210.0,6,6.7,1,1,1,0,2,4,0,1,0,0,0.05,22.0,256.0
2024-01-28,2023-10-09,111,"O2 Arena, London",Electronic/Dance,VIP Package,210.0,6,6.1,1,1,1,0,1,6,1,0,0,0,0.22,14.85,241.0
2023-07-26,2023-05-10,77,"Utilita Arena, Birmingham",Rock,Standard (Seated),78.0,2,17.7,0,0,0,0,7,2,0,1,0,0,0.05,5.9,82.5
2023-01-15,2022-12-02,44,"Glastonbury Festival, Somerset",Rock,Premium (Seated),125.0,9,6.9,1,1,1,0,1,6,0,0,0,0,0.35,22.0,152.5
2024-07-07,2024-02-19,139,"Motorpoint Arena, Cardiff",R&B,Standard (Seated),78.0,6,20.2,0,0,1,0,7,6,0,1,0,0,0.0,3.67,81.0
2024-04-05,2023-12-24,103,"Glastonbury Festival, Somerset",Pop,Standard (Seated),78.0,5,18.7,0,0,1,0,4,4,0,0,0,0,0.35,22.0,95.0
2024-11-21,2024-08-17,96,Manchester Arena,R&B,Standing (General),48.0,4,3.7,1,1,0,0,11,3,1,0,0,0,0.08,7.58,51.5
2024-07-28,2024-07-13,15,Manchester Arena,Electronic/Dance,Standard (Seated),78.0,2,15.5,0,0,1,0,7,6,1,1,0,0,0.08,9.44,85.5
2023-08-29,2023-06-14,76,"SSE Hydro, Glasgow",Musical Theatre,Standard (Seated),78.0,2,6.4,1,1,0,0,8,1,0,1,0,0,0.03,-3.12,75.5
